"Order ID","Order Date","Total Amount","Product Name",Quantity
8283,2024-12-05,₱8120.00,Sinandomeng,7
8280,2024-12-05,₱13860.00,Jasmine,11
8281,2024-12-05,₱8100.00,Dinorado,6
8271,2024-12-04,₱6450.00,"C4 Dinorado",5
8266,2024-12-03,₱4640.00,Sinandomeng,4
8265,2024-12-03,₱7140.00,Maharlika,6
8268,2024-12-03,₱2700.00,Dinorado,2
8264,2024-12-03,₱10600.00,Hasmin,8
8262,2024-12-02,₱7500.00,"Malagkit Mindoro",6
8259,2024-12-02,₱12150.00,Dinorado,9
8255,2024-12-01,₱4920.00,Blossom,4
8251,2024-12-01,₱17220.00,Blossom,14
8256,2024-12-01,₱2320.00,Sinandomeng,2
8250,2024-12-01,₱8330.00,Maharlika,7
